GRAPH,NODE_DISTANCE,STARTING_NODE,ENDING_NODE,INTENSITY_
Morgan Stanley International Holdings Inc,3,Citigroup Inc,Cincinnati Bell Inc,2.0
Morgan Stanley International Holdings Inc,3,Citigroup Inc,Vanguard Group,100.0
Alphabet Inc,3,Hp Inc,Goldman Sachs Group Inc,4.1
Morgan Stanley International Holdings Inc,3,Jp Morgan Chase And Co,Wells Fargo And Company,55.5
Alphabet Inc,3,Goldman Sachs Group Inc,Pepsico Inc,6.2
Goldman Sachs Group Inc,3,Bank Of America Corp,First Republic Bank,3.0
Goldman Sachs Group Inc,3,Bank Of America Corp,American Airlines Group Inc,2.6
Morgan Stanley International Holdings Inc,3,Wells Fargo And Company,Eastman Kodak Co,0.5
Morgan Stanley International Holdings Inc,3,Citigroup Inc,State Street Corp,5.3
Coca-Cola Company,3,Bank Of America Corp,China Mobile [Hong Kong] Ltd,3.5
Coca-Cola Company,3,Bank Of America Corp,Whirlpool Corp,3.0
Coca-Cola Company,3,Bank Of America Corp,Mbia Inc,8.3
Coca-Cola Company,3,Bank Of America Corp,Spotify Technology Sa,1.9
Goldman Sachs Group Inc,3,Bank Of America Corp,Countrywide Plc,1.2
